IntCode,latitude,longitude,AccOverTime
188,40.452263682271415,-79.9822819351187,"[0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
189,40.45198399028629,-79.98194199007752,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
190,40.4529252481524,-79.98310899879056,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
191,40.45170758980213,-79.98160934419165,"[0, 0, 0, 2, 1, 0, 0, 4, 1, 1, 0, 1, 0, 3]"
192,40.429327624867646,-79.97454682962173,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
193,40.428891469951,-79.97459533056507,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
194,40.429774017939046,-79.97450135947702,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
195,40.426608822770575,-79.97481650179091,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
196,40.427051734402546,-79.9747736165995,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
197,40.42794517292071,-79.97468450170892,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
198,40.42749397676789,-79.97472980986286,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0]"
199,40.43067433330215,-79.97441156576366,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
200,40.430208645074465,-79.9744608915682,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
201,40.42483264984882,-79.97498629239591,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
202,40.42571263969839,-79.97490552268113,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
203,40.42616872448379,-79.97485588655616,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
